Type,# Threads,# Loops,Microseconds,Update Frequency
Locking V2 - Approx, 4, 1000000, 276475, 100
Locking V2 - Approx, 10, 1000000, 741201, 100
Locking V2 - Approx, 20, 1000000, 1368355, 100
Locking V2 - Approx, 0, 1000000, 7521, 10000
Locking V2 - Approx, 1, 1000000, 43357, 10000
Locking V2 - Approx, 2, 1000000, 101390, 10000
Locking V2 - Approx, 4, 1000000, 295597, 10000
Locking V2 - Approx, 10, 1000000, 730026, 10000
Locking V2 - Approx, 20, 1000000, 1350304, 10000
Locking V2 - Approx, 0, 1000000, 8174, 100
Locking V2 - Approx, 1, 1000000, 69343, 100
Locking V2 - Approx, 2, 1000000, 143570, 100
Locking V2 - Approx, 4, 1000000, 282617, 100
Locking V2 - Approx, 10, 1000000, 745142, 100
Locking V2 - Approx, 20, 1000000, 1408431, 100
Locking V2 - Approx, 0, 1000000, 7428, 10000
Locking V2 - Approx, 1, 1000000, 60111, 10000
Locking V2 - Approx, 2, 1000000, 109211, 10000
Locking V2 - Approx, 4, 1000000, 296378, 10000
Locking V2 - Approx, 10, 1000000, 745973, 10000
Locking V2 - Approx, 20, 1000000, 1394532, 10000
Locking V2 - Approx, 0, 1000000, 7837, 100
Locking V2 - Approx, 1, 1000000, 65889, 100
Locking V2 - Approx, 2, 1000000, 118683, 100
Locking V2 - Approx, 4, 1000000, 282722, 100
Locking V2 - Approx, 10, 1000000, 754741, 100
Locking V2 - Approx, 20, 1000000, 1372687, 100
Locking V2 - Approx, 0, 1000000, 7527, 10000
Locking V2 - Approx, 1, 1000000, 49407, 10000
Locking V2 - Approx, 2, 1000000, 96067, 10000
Locking V2 - Approx, 4, 1000000, 297161, 10000
Locking V2 - Approx, 10, 1000000, 774145, 10000
Locking V2 - Approx, 20, 1000000, 1343240, 10000
Locking V2 - Approx, 0, 1000000, 8192, 100
Locking V2 - Approx, 1, 1000000, 55506, 100
Locking V2 - Approx, 2, 1000000, 136746, 100
Locking V2 - Approx, 4, 1000000, 289650, 100
Locking V2 - Approx, 10, 1000000, 753862, 100
Locking V2 - Approx, 20, 1000000, 1328990, 100
Locking V2 - Approx, 0, 1000000, 7557, 10000
Locking V2 - Approx, 1, 1000000, 66751, 10000
Locking V2 - Approx, 2, 1000000, 89966, 10000
Locking V2 - Approx, 4, 1000000, 301982, 10000
Locking V2 - Approx, 10, 1000000, 706630, 10000
Locking V2 - Approx, 20, 1000000, 1365783, 10000
Locking V2 - Approx, 0, 1000000, 8076, 100
Locking V2 - Approx, 1, 1000000, 54715, 100
Locking V2 - Approx, 2, 1000000, 115879, 100
Locking V2 - Approx, 4, 1000000, 276183, 100
Locking V2 - Approx, 10, 1000000, 761611, 100
Locking V2 - Approx, 20, 1000000, 1366181, 100
Locking V2 - Approx, 0, 1000000, 7424, 10000
Locking V2 - Approx, 1, 1000000, 52987, 10000
Locking V2 - Approx, 2, 1000000, 101750, 10000
Locking V2 - Approx, 4, 1000000, 277078, 10000
Locking V2 - Approx, 10, 1000000, 748533, 10000
Locking V2 - Approx, 20, 1000000, 1333870, 10000
Locking V2 - Approx, 0, 1000000, 8092, 100
Locking V2 - Approx, 1, 1000000, 51267, 100
Locking V2 - Approx, 2, 1000000, 102986, 100
Locking V2 - Approx, 4, 1000000, 292912, 100
Locking V2 - Approx, 10, 1000000, 723910, 100
Locking V2 - Approx, 20, 1000000, 1361027, 100
Locking V2 - Approx, 0, 1000000, 7497, 10000
Locking V2 - Approx, 1, 1000000, 50747, 10000
Locking V2 - Approx, 2, 1000000, 103969, 10000
Locking V2 - Approx, 4, 1000000, 291711, 10000
Locking V2 - Approx, 10, 1000000, 651046, 10000
Locking V2 - Approx, 20, 1000000, 1329933, 10000
Locking V2 - Approx, 0, 1000000, 7943, 100
Locking V2 - Approx, 1, 1000000, 50635, 100
Locking V2 - Approx, 2, 1000000, 100795, 100
Locking V2 - Approx, 4, 1000000, 286286, 100
Locking V2 - Approx, 10, 1000000, 761977, 100
Locking V2 - Approx, 20, 1000000, 1375968, 100
Locking V2 - Approx, 0, 1000000, 7494, 10000
Locking V2 - Approx, 1, 1000000, 57335, 10000
